Serial_Number,Type,X,Y,Width,Height,Rotation,Frame_Color,Fill_Color,Is_Filled
2219,Small,364.15526452632946,635.2601948761402,10.0,10.0,-140.20738647683214,#1d1c21,#d9505b,True
2218,Small,373.04968124193135,642.820603509503,10.0,10.0,-139.77243141743128,#1d1c21,#e87d46,True
102,Triangle,362.49738795723925,511.61760652603357,10.0,10.0,-70.0,#1d1c21,#2f563c,True
101,Triangle,368.6325405094802,532.0725265041683,10.0,10.0,-66.0,#1d1c21,#653979,True
2217,Small,356.4107274654503,533.4130399658877,10.0,10.0,-71.98803722057201,#1d1c21,#a21818,True
2216,Small,352.46339613998674,545.0321142189297,10.0,10.0,-71.22297617627623,#1d1c21,#d9505b,True
2215,Small,359.7331298286934,522.2257535595768,10.0,10.0,-69.27444113443929,#1d1c21,#2f563c,True
2214,Small,349.31182178029246,556.1841142223604,10.0,10.0,-72.63470930213025,#1d1c21,#d9505b,True
2213,Small,346.84618216987644,567.8331976232043,10.0,10.0,-78.0,#1d1c21,#d9505b,True
2212,Small,345.2748543883263,579.5030351123831,10.0,10.0,-88.57299836361165,#1d1c21,#d9505b,True
2211,Small,345.83791931804484,590.9324699538972,10.0,10.0,-98.97040780848667,#1d1c21,#a21818,True
2210,Small,349.09567471928796,602.8262755807027,10.0,10.0,-121.85238011860292,#1d1c21,#d9505b,True
2209,Small,355.8094660856414,612.3782109527324,10.0,10.0,-128.79655209830815,#1d1c21,#d9505b,True
2208,Small,364.23917004426426,620.9859608416194,10.0,10.0,-140.00583255295123,#1d1c21,#d9505b,True
2206,Small,385.4923106853375,630.5381699870145,10.0,10.0,-147.55604521958398,#1d1c21,#d9505b,True
2205,Small,363.8922480872359,674.7442027926453,10.0,10.0,28.0,#1d1c21,#e87d46,True
2204,Small,373.20754751697103,680.4654333449262,10.0,10.0,28.0,#1d1c21,#e87d46,True
2203,Small,370.8245473128852,666.1021385863856,10.0,10.0,32.0,#1d1c21,#e87d46,True
2202,Small,357.1429345842183,576.6802250959829,10.0,10.0,8.0,#1d1c21,#d9505b,True
2201,Small,359.29160798030966,586.2363087222851,5.0,10.0,79.0,#1d1c21,#d9505b,True
2200,Small,360.5284612734076,592.8913072139308,5.0,10.0,-115.0,#1d1c21,#d9505b,True
2199,Small,390.60237470080506,620.3222767719982,10.0,10.0,23.557525034235262,#1d1c21,#653979,True
2198,Small,378.9627200647576,617.8455010652046,10.0,10.0,30.520981784128182,#1d1c21,#d9505b,True
2197,Small,369.55531841722905,610.7373245369291,10.0,10.0,41.697624157672344,#1d1c21,#d9505b,True
2196,Small,361.581145996695,601.6455714074211,10.0,10.0,51.81129921240627,#1d1c21,#d9505b,True
2193,Small,358.57511683747003,565.331327003693,10.0,10.0,100.79020099751416,#1d1c21,#d9505b,True
2192,Small,361.7995978463869,554.6596883246226,10.0,10.0,101.84476167961363,#1d1c21,#2f563c,True
2191,Small,364.8406152172065,543.6333145381326,10.0,10.0,104.71756656805839,#1d1c21,#653979,True
2190,Small,438.0800284262435,730.4205211047113,5.0,10.0,137.0,#1d1c21,#d9505b,True
100,Triangle,434.8665052968393,722.8649938219894,10.0,10.0,0,#1d1c21,#d9505b,True
2189,Small,371.62084022777634,692.5770966373381,10.0,10.0,-157.04337682651268,#1d1c21,#e87d46,True
2188,Small,381.58744160405115,697.1328842583483,10.0,10.0,-154.68577739407135,#1d1c21,#d9505b,True
2187,Small,392.31966777308145,701.396111647765,10.0,10.0,-154.03593146176988,#1d1c21,#e87d46,True
2186,Small,402.45044663275524,707.0670869115264,10.0,10.0,-152.3446763283801,#1d1c21,#e87d46,True
2185,Small,412.61584703499574,712.6324893525643,10.0,10.0,-153.3931849664513,#1d1c21,#e87d46,True
2184,Small,423.81283072814773,716.7397507549488,10.0,10.0,-168.1985905136483,#1d1c21,#d9505b,True
2183,Small,435.48216457954743,711.9109511323611,10.0,10.0,0,#1d1c21,#a21818,True
2182,Small,380.66115168138737,672.0647440911237,10.0,10.0,-149.2655447563373,#1d1c21,#d9505b,True
2181,Small,382.9438239835012,685.7103757651727,10.0,10.0,-156.7481192319793,#1d1c21,#d9505b,True
2180,Small,394.84575114119673,688.2784256933804,10.0,10.0,-147.51897489999595,#1d1c21,#d9505b,True
2179,Small,404.0971145323843,695.2297467865424,10.0,10.0,-150.382832683822,#1d1c21,#e87d46,True
2178,Small,413.8190229754288,701.1402182211012,10.0,10.0,-151.94606935100688,#1d1c21,#d9505b,True
2177,Small,425.14231063785223,705.4871721716205,10.0,10.0,-167.6561084159669,#1d1c21,#d9505b,True
2176,Small,404.75572140316035,621.6315688921223,5.0,10.0,91.0,#1d1c21,#a21818,True
2175,Small,412.9370961723012,629.4964508239395,5.0,10.0,-51.0,#1d1c21,#d9505b,True
2174,Small,415.07439156717624,625.7854367653604,5.0,5.0,24.0,#1d1c21,#d9505b,True
2173,Small,376.6260626135709,655.8933991752651,10.0,10.0,129.93683705667485,#1d1c21,#e87d46,True
2172,Small,385.0495366555013,647.5179247356652,10.0,10.0,136.50010861194318,#1d1c21,#d9505b,True
2171,Small,393.0210176012303,640.1884103409901,10.0,10.0,135.51031602292522,#1d1c21,#d9505b,True
2170,Small,401.0508787748813,632.659837369741,10.0,10.0,134.75048301834445,#1d1c21,#d9505b,True
2168,Small,395.7769358590718,669.206410015787,5.0,10.0,9.0,#1d1c21,#d9505b,True
2167,Small,412.96971776063185,639.3094521394554,5.0,10.0,-29.0,#1d1c21,#d9505b,True
